State,No.,Facility Name,Full Address,Phone Number,District
Kelantan,189,KK Jelawat,"KK Jelawat, Pejabat Kesihatan Daerah Bachok, 16300, Bachok, Kelantan",09-7788333,Bachok
Kelantan,190,KK Jeli,"KK Jeli, Jeli, 17600, Jeli, Kelantan",09-9440733,Jeli
Kelantan,191,KK Jeram,"KK Jeram, Jeram, 16800, Pasir Puteh, Kelantan",09-7867033,Pasir Puteh
Kelantan,192,KK Jeram Tekoh,"KK Jeram Tekoh, Jeram Tekoh, 18300, Gua Musang, Kelantan",09-9126308,Gua Musang
Kelantan,193,KK Jerek,"KK Jerek, Kampung Jerek, Wakil Pos Bertam, 18300, Gua Musang, Kelantan",010-5726382,Gua Musang
Kelantan,194,KK Joh,"Kampung Joh, Machang",018-3264544,Kampung Joh
Kelantan,195,KK Kandis,"KK Kandis, Bachok, 16300, Bachok, Kelantan",09-7782825,Bachok
Kelantan,196,KK Kangkong,"KK Kangkong, Jalan Pasir Mas Tanah Merah 17040 Pasir Mas, 17040, Pasir Mas, Kelantan",09-7943155,Pasir Mas
Kelantan,197,KK Karangan,"Klinik Kesihatan Karangan, Jalan Kuala Krai, 18000 Kuala Krai, Kelantan",011-10170751,18000 Kuala Krai
Kelantan,198,KK Kasar,"KK Kasar, Klinik Kesihatan Kasar, Pasir Mas, 17000, Pasir Mas, Kelantan",09-7903352,Pasir Mas
Kelantan,199,KK Kemahang,"KK Kemahang, Felda Kemahang 17500 Tanah Merah, 17500, Tanah Merah, Kelantan",09-9581192,Tanah Merah
Kelantan,200,KK Kerilla,"Klinik Kesihatan Kerilla, Jalan Temangan Kerilla, 18400 Temangan",014-8128270,Jalan Temangan Kerilla
Kelantan,201,KK Keroh,"KK Keroh, Jalan Kuala Krai, 18000, Kuala Krai, Kelantan",09-9609209,Kuala Krai
Kelantan,202,KK Ketereh,"KK Ketereh, 16450 Kota Bharu, 16450, Kota Bharu, Kelantan",09-7886055,Kota Bharu
Kelantan,203,KK Kg Bandar,"KK Kg Bandar, Jalan Kemubu, 16600 Pulai Chondong, 16600, Machang, Kelantan",09-9770108 / 014-8370610,Machang
Kelantan,204,KK Kijang,"KK Kijang, Jalan PCB Badang, 15350 Kota Bharu, 15350, Kota Bharu, Kelantan",09-7732142,Kota Bharu
Kelantan,205,KK Kok Lanas,"KK Kok Lanas, Kilometer 25, Jalan Kuala Krai 16450 Kotan Bharu, 16450, Kota Bharu, Kelantan",09-7880900,Kota Bharu
Kelantan,206,KK Kota Jembal,"KK Kota Jembal, Bandar Kota Jembal, Kedai Lalat, 16150, Kota Bharu, Kelantan",09-7666733,Kota Bharu
Kelantan,207,KK Kuala Balah,"KK Kuala Balah, Kuala Balah, 17510, Jeli, Kelantan",09-9361233,Jeli
Kelantan,208,KK Kuala Betis,"KK Kuala Betis, Kuala Betis, 18300, Gua Musang, Kelantan",09-9150103,Gua Musang
Kelantan,209,KK Kubang Kerian,"KK Kubang Kerian, Jln Istana Mahkota, Kota Bharu, 16150, Kota Bharu, Kelantan",09-7667330,Kota Bharu
Kelantan,210,KK Kubang Kual,"KK Kubang Kual, Kubang Kual, 17000, Pasir Mas, Kelantan",09-7904973,Pasir Mas
Kelantan,211,KK Kuchelong,"KK Kuchelong, Kuchelong, 16090 Bachok, 16090, Bachok, Kelantan",09-7832989,Bachok
Kelantan,212,KK Labok,"KK Labok, 18500 Labok, Machang, 18400, Machang, Kelantan",09-7878533/ 09-7870703/ 09-7870139,Machang
Kelantan,213,KK Laloh,"KK Laloh, Laloh, 18000, Kuala Krai, Kelantan",09-9668826,Kuala Krai
Kelantan,214,KK Lebir,"KK Lebir, Lebir, 18300, Gua Musang, Kelantan",09-9159001,Gua Musang
Kelantan,215,KK Limau Kasturi,"KK Limau Kasturi, Wakil Pos Limau Kasturi, 18300, Gua Musang, Kelantan",010-5795891,Gua Musang
Kelantan,216,KK Lojing,"KK Lojing, Lojing, 18300, Gua Musang, Kelantan",09-9221406,Gua Musang
Kelantan,217,KK Lubok Bongor,"KK Lubok Bongor, Lubok Bongor, 17600, Jeli, Kelantan",09-9361022,Jeli
Kelantan,218,KK Lubuk Pukul,"KK Lubuk Pukul, Jalan Kota Bharu - Bachok, 16150, Kota Bharu, Kelantan",09-7640629,Kota Bharu
Kelantan,219,KK Lundang Paku,"KK Lundang Paku, Jalan Dewan Beta, 15100, Kota Bharu, 15100, Kota Bharu, Kelantan",011-65730466 / 011-65729611,Kota Bharu
Kelantan,220,KK Machang,"KK Machang, Machang, 18500 Machang, 18500, Machang, Kelantan",09-9751039 / 09-9752333,Machang
Kelantan,221,KK Mahligai,"KK Mahligai, Jalan Pasir Puteh Kota Bharu, 16400 Bachok, 16400, Bachok, Kelantan",09-7834213,Bachok
Kelantan,222,KK Manik Urai,"KK Manik Urai, Manek Urai, 18050, Kuala Krai, Kelantan",09-9665133,Kuala Krai
Kelantan,223,KK Mata Ayer,"Klinik Kesihatan Mata Ayer, Kampung Mata Ayer, Pulai Chondong, 16600, Machang Kelantan",013-4564778,16600
Kelantan,224,KK Meranti,"KK Meranti, Jln Banggol Che Wan, Meranti, 17000, Pasir Mas, Kelantan",09-7975057/ 09-7978466,Pasir Mas
Kelantan,225,KK Meranto,"KK Meranto, Kampong Meranto, Gua Musang, 18300, Gua Musang, Kelantan",09-9120610,Gua Musang
Kelantan,226,KK Mulong,"KK Mulong, Jalan Kuala Krai - Kota Bharu, 16450, Kota Bharu, Kelantan",09-7124008,Kota Bharu
Kelantan,227,KK Padang Pak Amat,"KK Padang Pak Amat,  Lot.1617,Kg Padang Pak Amat,Pasir Puteh, 16800,   Pasir Puteh, Kelantan",09-7860601,Pasir Puteh
Kelantan,228,KK Pahi,"KK Pahi, Pahi, 18000, Kuala Krai, Kelantan",09-9609343,Kuala Krai
Kelantan,229,KK Pangkal Kala,"KK Pangkal Kala, Kampung Pangkal Kala, 17030, Pasir Mas, Kelantan",09-7976925,Pasir Mas
Kelantan,230,KK Panji,"KK Panji, Jalan Panji Panchor, 16150, Kota Bharu, Kelantan",09-7714046,Kota Bharu
Kelantan,231,KK Parit,"KK Parit, Jalan Pasir Tumbuh-Tiong, 16400, Kota Bharu, Kelantan",09-7650106,Kota Bharu
Kelantan,232,KK Pasir Pekan,"KK Pasir Pekan, Pasir Pekan, Wakaf Bharu, Tumpat, 16250, Tumpat, Kelantan",09-7190387,Tumpat
Kelantan,233,KK Pasir Puteh,"KK Pasir Puteh, Pasir Puteh, 16800 Pasir Puteh, 16800, Pasir Puteh, Kelantan",09-7867355,Pasir Puteh
Kelantan,234,KK Penambang,"KK Penambang, Lot No 348-A Jalan Pantai Cahaya Bulan Kg. Penambang, 15350 Kota Bharu, 15350, Kota Bharu, Kelantan",09 7442760,Kota Bharu
Kelantan,235,KK Pendek,"KK Pendek, Jln Kota Bharu-Salor, 15100, Kota Bharu, Kelantan",09-7012899,Kota Bharu
Kelantan,236,KK Pengkalan Chepa,"KK Pengkalan Chepa, Pengkalan Chepa, 16100, Kota Bharu, Kelantan",09-7714030,Kota Bharu
Kelantan,237,KK Pengkalan Kubor,"KK Pengkalan Kubor, Pengkalan Kubor, 16200, Tumpat, Kelantan",09-7211570,Tumpat
Kelantan,238,KK Peria,"Klinik Kesihatan Peria, Kampung Peria, Jalan Kuala Krai, 18000 Kuala Krai, Kelantan",014-8845932,18000 Kuala Krai
Kelantan,239,KK Peringat,"KK Peringat, Jalan Melor, 16400 Kota Bharu, 16400, Kota Bharu, Kelantan",09-7127433,Kota Bharu
Kelantan,240,KK Pintu Geng,"KK Pintu Geng, Jln. Pintu Geng, Kota Bharu, 15100, Kota Bharu, Kelantan",09-7471997,Kota Bharu
Kelantan,241,KK Pos Brooke,"KK Pos Brooke, Pejabat Kesihatan Daerah Gua Musang, 18300, Gua Musang, Kelantan",09-9120610,Gua Musang
Kelantan,242,KK Pulai Chondong,"KK Pulai Chondong, Pulau Chondong, 16600, Machang, Kelantan",09-7878333/ 09-7878444,Machang
Kelantan,243,KK Rantau Panjang,"KK Rantau Panjang, Jalan Lubok Stol, Rantau Panjang, 17200, Pasir Mas, Kelantan",09-7950333,Pasir Mas
Kelantan,244,KK Selising,"KK Selising, Selising, 16410, Pasir Puteh, Kelantan",09-7891433,Pasir Puteh
Kelantan,245,KK Sokor,"Klinik Kesihatan Sokor, Kg Sokor, Gual Ipoh, 17500 Tanah Merah, Kelantan",09-9775271,17500 Tanah Merah
Kelantan,246,KK Star,"KK Star, Kampung Star, 18300, Gua Musang, Kelantan",09-9330088,Gua Musang
Kelantan,247,KK Sungai Keladi,"Klinik Kesihatan Sungai Keladi, 17030, Pasir Mas, Kelantan",-,Pasir Mas
Kelantan,248,KK Sungai Petai,"KK Sungai Petai, Kg. Sungai Petai, 16800, Pasir Puteh, Kelantan",09-7520034,Pasir Puteh
Kelantan,249,KK Sungai Pinang,"KK Sungai Pinang, Sungai Pinang, Palekbang, 16040, Tumpat, Kelantan",09-7255133,Tumpat
Kelantan,250,KK Tanah Merah,"KK Tanah Merah, Jalan Klinik Tanah Merah, 17500 Tanah Merah, 17500, Tanah Merah, Kelantan",09-9556315,Tanah Merah
Kelantan,251,KK Telok Jering,"Klinik Kesihatan Telok Jering, Kampung Telok Jering, 16210 Tumpat, Kelantan",011-65727221,16210 Tumpat
Kelantan,252,KK Telok Renjuna,"KK Telok Renjuna, Telok Rejuna, 16200, Tumpat, Kelantan",09-7981023,Tumpat
Kelantan,253,KK Temangan,"KK Temangan, Temangan, 18400, Machang, Kelantan",09-9752633/ 09-9755330,Machang
Kelantan,254,KK Tendong,"KK Tendong, Tedong, 17030, Pasir Mas, Kelantan",09-7198333,Pasir Mas
Kelantan,255,KK To' Uban,"KK To' Uban, Jeram, 17050, Pasir Mas, Kelantan",09-7941333,Pasir Mas
Kelantan,256,KK UTC Kelantan,"KK UTC Kelantan, Level 1 lot 378, Seksyen 16, jalan Hamzah 15050, Kota Bharu, 15050, Kota Bharu, Kelantan","09-7422418 / 
09-7422419",Kota Bharu
Kelantan,257,KK Wakaf Bharu,"KK Wakaf Bharu, Wakaf Baru, 16250, Tumpat, Kelantan",09-7196333,Tumpat
Kelantan,258,KK Wakaf Che Yeh,"KK Wakaf Che Yeh, Jalan Pasir Mas Salor, 15100 Kota Bharu, 15100, Kota Bharu, Kelantan",09-7446333,Kota Bharu
Kelantan,259,KK Wakaf Delima,"KK Wakaf Delima, Kampung Wakaf Delima, 16250 Tumpat, 16250, Tumpat, Kelantan",09-7196907,Tumpat
Kelantan,260,KK Wakaf Stan,"KK Wakaf Stan, Kampung Wakaf Stan, Kota Bharu, 16150, Kota Bharu, Kelantan",09-7650104,Kota Bharu
Melaka,1,KD Air Merbau,"KD Air Merbau, Kampung Air Merbau, 77000, Jasin, Melaka",06-5216221,Jasin
Melaka,2,KD Air Molek,"KD Air Molek, Batu 25, Kampung Air Molek, Kuala Sungai Baru, 78200, Alor Gajah, Melaka",06-3878230,Alor Gajah
Melaka,3,KD Air Paabas,"KD Air Paabas, Kampung Air Paabas, 78000, Alor Gajah, Melaka",06-5566240,Alor Gajah
Melaka,4,KD Air Tawar,"KD Air Tawar, Sungai Rambai, 77300, Jasin, Melaka",06-2633001,Jasin
Melaka,5,KD Alai,"KD Alai, Jalan Kandang, Alai, 75600, Melaka Tengah, Melaka",06-2682019,Melaka Tengah
Melaka,6,KD Asahan,"KD Asahan, Kampung Asahan, Asahan, 77100, Jasin, Melaka",06-5235177,Jasin
Melaka,7,KD Batu Gajah Pasir,"KD Batu Gajah Pasir, Kampung Batu Gajah Pasir, Sungai Rambai, 77300, Jasin, Melaka",06-2658491,Jasin
Melaka,8,KD Belimbing Dalam,"KD Belimbing Dalam, Batu 12, Kampung Belimbing Dalam, Durian Tunggal, 76100, Alor Gajah, Melaka",06-5533498,Alor Gajah
Melaka,9,KD Bemban,"KD Bemban, Kampung Bemban, 77000, Jasin, Melaka",06-5216193,Jasin
Melaka,10,KD Bertam Ulu,"KD Bertam Ulu, Jalan Bertam Ulu, 75250, Melaka Tengah, Melaka",06-3121904,Melaka Tengah
Melaka,11,KD Brisu,"KD Brisu, Batu 31, Kg Brisu, Simpang Empat, 78000, Alor Gajah, Melaka",06-5529352,Alor Gajah
Melaka,12,KD Bukit Katil,"KD Bukit Katil, Kampung Bukit Katil, 75450, Melaka Tengah, Melaka",06-2681125,Melaka Tengah
Melaka,13,KD Bukit Piatu,"KD Bukit Piatu, Jalan Bukit Baru, 75150, Melaka Tengah, Melaka",06-2847622,Melaka Tengah
Melaka,14,KD Bukit Senggeh,"KD Bukit Senggeh , Kampung Bukit Senggeh, Selandar, 77500, Jasin, Melaka",06-5252848,Jasin
Melaka,15,KD Chenderah,"KD Chenderah, Kampung Chenderah, 77000, Jasin, Melaka",06-5246961,Jasin
Melaka,16,KD Chin Chin,"KD Chin Chin, Kampung Chin-Chin, 77000, Jasin, Melaka",06-5246887,Jasin
Melaka,17,KD Durian Daun,"KD Durian Daun, Batu 20, Kampung Durian Daun, Masjid Tanah, 78000, Alor Gajah, Melaka",06-3841552,Alor Gajah
Melaka,18,KD Gadek,"KD Gadek, Batu 18, Kampung Gadek, 78000, Alor Gajah, Melaka",06-5548790,Alor Gajah
Melaka,19,KD Kampong Padang,"KD Kampong Padang, Kampung Padang, Jalan Pokok Mangga, 75250, Melaka Tengah, Melaka",06-3366341,Melaka Tengah
Melaka,20,KD Kampong Pulau,"KD Kampong Pulau, Batu 20, Kampung Pulau, Masjid Tanah, 78300, Alor Gajah, Melaka",06-3841575,Alor Gajah
Melaka,21,KD Kampung Tehel,"KD Kampung Tehel, Kampung Tehel, 77000, Jasin, Melaka",06-2686224 / 06-5268322,Jasin
Melaka,22,KD Kemuning,"KD Kemuning, Lot 194, Mukim Kemuning, 78000, Alor Gajah, Melaka",06-5547619,Alor Gajah
Melaka,23,KD Kesang Pajak,"KD Kesang Pajak, Kampung Kesang Pajak, Selandar, 77000, Jasin, Melaka",06-5293832,Jasin
Melaka,24,KD Kesang Tua,"KD Kesang Tua, Kampung Kesang Tua, Selandar, 77000, Jasin, Melaka",06-5293830,Jasin
Melaka,25,KD Krubong,"KD Krubong, Kampung Krubong, 75250, Melaka Tengah, Melaka",06-3340940,Melaka Tengah
Melaka,26,KD Kuala Linggi,"KD Kuala Linggi, Batu 21, Kampung Bukit Darat, Kuala Sungai Baru, 78200, Alor Gajah, Melaka",06-3878233,Alor Gajah
Melaka,27,KD Lendu,"KD Lendu, KM 13, Kampung Baru, 78000, Alor Gajah, Melaka",06-5563172,Alor Gajah
Melaka,28,KD Macap Umboo,"KD Macap Umboo, KM 10, Kampung Macap Umboo, Durian Tunggal, 78000, Alor Gajah, Melaka",-,Alor Gajah
Melaka,29,KD Masjid Baru,"KD Masjid Baru, Kampung Masjid Baru, Asahan, 77100, Jasin, Melaka",06-5228304,Jasin
Melaka,30,KD Melaka Pindah,"KD Melaka Pindah, Bukit 16, Kampung Melaka Pindah, 78000, Alor Gajah, Melaka",06-5563230,Alor Gajah
Melaka,31,KD Melekek,"KD Melekek, Batu 17, Kampung Melekek, Jalan Perling, 78000, Alor Gajah, Melaka",06-5529419,Alor Gajah
Melaka,32,KD Menggong,"KD Menggong, KM 30, Felda Tun Ghafar Baba, 78000, Alor Gajah, Melaka",-,Alor Gajah
Melaka,33,KD On Lok,"KD On Lok, Kampung Baru On Lok, Selandar, 76470, Jasin, Melaka",06-4461311,Jasin
Melaka,34,KD Pantai Belimbing,"KD Pantai Belimbing, Batu 13 3/4, Kampung Pantai Belimbing Dalam, Durian Tunggal, 76100, Alor Gajah, Melaka",06-5533361,Alor Gajah
Melaka,35,KD Pantai Kundor,"KD Pantai Kundor, Kampung Pantai Kundur Pantai Puteri, Tanjung Kling, 76400, Melaka Tengah, Melaka",06-3512008,Melaka Tengah
Melaka,36,KD Parit Gantong,"KD Parit Gantong, KM 35, Jalan Parit Perawas, Sungai Rambai, 77400, Jasin, Melaka",06-2658493,Jasin
Melaka,37,KD Paya Dalam,"KD Paya Dalam, Jalan Sekolah, Paya Dalam, 75460, Melaka Tengah, Melaka",06-2688071,Melaka Tengah
Melaka,38,KD Paya Rumput,"KD Paya Rumput, Lebuhraya AMJ, Jalan Paya Rumput, 76450, Melaka Tengah, Melaka",06-3123205,Melaka Tengah
Melaka,39,KD Pegoh,"KD Pegoh, Batu 16 1/2, Kampung Pegoh, 78000, Alor Gajah, Melaka",06-5568334,Alor Gajah
Melaka,40,KD Pulai,"KD Pulai, Kampung Pulai, Merlimau, 77300, Jasin, Melaka",06-2616575,Jasin
Melaka,41,KD Pulau Sebang,"KD Pulau Sebang, Batu 21, Kampung Pulau Sebang, 78000, Alor Gajah, Melaka",06-4414080,Alor Gajah
Melaka,42,KD Ramuan China Besar,"KD Ramuan China Besar, Pekan Ramuan China Besar, Lubok China, 78100, Alor Gajah, Melaka",06-3842620,Alor Gajah
Melaka,43,KD Sebatu,"KD Sebatu, KM 29, Kampung Sebatu, Sungai Rambai, 77300, Jasin, Melaka",06-2658494,Jasin
Melaka,44,KD Semabok,"KD Semabok, 1-1 Jalan Semabok Jaya 2, Taman Semabok Jaya, 75050, Melaka Tengah, Melaka",06-2881437 / 06-2847826,Melaka Tengah
Melaka,45,KD Semujuk (Felcra),"KD Semujuk (Felcra), Kampung Semujuk, Merlimau, 77300, Jasin, Melaka",06-2632675,Jasin
Melaka,46,KD Simpang Kerayong,"KD Simpang Kerayong, Kampung Simpang Kerayong, 77000, Jasin, Melaka",06-5293828,Jasin
Melaka,47,KD Sungai Buluh,"KD Sungai Buluh, Batu 27 1/2, Kampung Sungai Buloh, Simpang Empat, 78000, Alor Gajah, Melaka",06-5529412,Alor Gajah
Melaka,48,KD Sungai Petai,"KD Sungai Petai, Taman Bukit Emas, Sungai Petani, 78000, Alor Gajah, Melaka",06-5563168,Alor Gajah
Melaka,49,KD Sungai Siput,"KD Sungai Siput, Batu 20, Kampung Pulau, Masjid Tanah, 78100, Alor Gajah, Melaka",06-6967606,Alor Gajah
Melaka,50,KD Taboh Naning,"KD Taboh Naning, Batu 22, Kampung Cerana Putih, 78000, Alor Gajah, Melaka",-,Alor Gajah
Melaka,51,KD Tangga Batu,"KD Tangga Batu, Batu 9, Kampong Tangga Batu, Tangga Batu, 76400, Melaka Tengah, Melaka",06-3511505,Melaka Tengah
Melaka,52,KD Tanjung Bidara,"KD Tanjung Bidara, Batu 22 1/2, Kampung Air Hitam Pantai, Masjid Tanah, 78000, Alor Gajah, Melaka",06-3848958,Alor Gajah
Melaka,53,KD Tedong,"KD Tedong, Kampung Tedong, Merlimau, 77300, Jasin, Melaka",06-2632676,Jasin
Melaka,54,KD Telok Mas,"KD Telok Mas, No 27, Jalan 37, Taman Sri Telok Mas, 75460, Melaka Tengah, Melaka",06-2616690,Melaka Tengah
Melaka,55,KD Tiang Dua,"KD Tiang Dua, Kampung Tiang Dua, 75460, Melaka Tengah, Melaka",06-2686122,Melaka Tengah
Melaka,56,KK Alor Gajah,"KK Alor Gajah, Pejabat Kesihatan Daerah Alor Gajah, 78000, Alor Gajah, Melaka",06-5566240,Alor Gajah
Melaka,57,KK Ayer Keroh,"KK Ayer Keroh, Jalan Ayer Keroh Lama, 75450, Melaka Tengah, Melaka",06-2312344,Melaka Tengah
Melaka,58,KK Ayer Molek,"KK Ayer Molek, Jalan Air Molek, 75460, Melaka Tengah, Melaka",06-2680333,Melaka Tengah
Melaka,59,KK Bachang,"Klinik Kesihatan Bachang, Kampung Bachang, Lorang Haji Yang, Alor Gajah, 78000, Melaka",06-334 2344,78000
Melaka,60,KK Batang Melaka,"Klinik Kesihatan Batang Melaka, Jalan Batang Melaka Jaya 1, Taman Batang Melaka Jaya, Batang Melaka, Jasin, 77500, Melaka",06-4461087,77500
Melaka,61,KK Batu Berendam,"KK Batu Berendam, Jalan Batu Berendam, 75350, Melaka Tengah, Melaka",06-2706200,Melaka Tengah
Melaka,62,KK Bukit Rambai,"KK Bukit Rambai, Jalan Bukit Rambai, Bukit Rambai, 75250, Melaka Tengah, Melaka",06-3512464,Melaka Tengah
Melaka,63,KK Cheng,"KK Cheng, Jalan Cheng, 75250, Melaka Tengah, Melaka",06-3123333,Melaka Tengah
Melaka,64,KK Durian Tunggal,"KK Durian Tunggal, Jalan Padang Keladi, Durian Tunggal, 76100, Alor Gajah, Melaka",06-5531133,Alor Gajah
Melaka,65,KK Felda Bukit Senggeh,"KK Felda Bukit Senggeh, Felda Bukit Senggeh, Asahan, 77100, Jasin, Melaka",06-5228305,Jasin
Melaka,66,KK Hutan Percha,"KK Hutan Percha, Felda Hutan Percha, 78000, Alor Gajah, Melaka",06-5548224,Alor Gajah
Melaka,67,KK Jalan Gereja,"KK Jalan Gereja, Bandar Kaba, 75000, Melaka Tengah, Melaka",06-2824452,Melaka Tengah
Melaka,68,KK Jasin,"KK Jasin, Pej. Kesihatan Jasin, 77000, Jasin, Melaka",06-5294636,Jasin
Melaka,69,KK Kemendor,"KK Kemendor, Jalan Bunga Kertas, 77000, Jasin, Melaka",06-5293330,Jasin
Melaka,70,KK Klebang Besar,"KK Klebang Besar, Jalan Klebang Besar, 75200, Melaka Tengah, Melaka",06-3154144/ 06-3153952,Melaka Tengah
Melaka,71,KK Kuala Sungai Baru,"KK Kuala Sungai Baru, Pekan Kuala Sungai Baru, 78200, Alor Gajah, Melaka",06-3876333/ 06-3877533,Alor Gajah
Melaka,72,KK Lubok China,"KK Lubok China, Pekan Lubok China, 78100, Alor Gajah, Melaka",06-6966475,Alor Gajah
Melaka,73,KK Macap Baru,"KK Macap Baru, KM 17, Kampung Macap Baru, 78000, Alor Gajah, Melaka",06-5252333,Alor Gajah
Melaka,74,KK Masjid Tanah,"KK Masjid Tanah, Batu 18 1/2, Paya Rumput, Masjid Tanah, 78300, Alor Gajah, Melaka",06-3842533/ 06-3843012,Alor Gajah
Melaka,75,KK Merlimau,"KK Merlimau, Kampung Merlimau, Jalan Besar Merlimau, 77300, Jasin, Melaka",06-2631533,Jasin
Melaka,76,KK Nyalas,"KK Nyalas, JKR 2016, Kuarters Klinik Kesihatan Nyalas, Pekan Nyalas, Asahan, 77100, Jasin, Melaka",06-5228306,Jasin
Melaka,77,KK Padang Sebang,"KK Padang Sebang, Batu 19 1/2, Kampung Padang Sebang, 78000, Alor Gajah, Melaka",06-5547932,Alor Gajah
Melaka,78,KK Pengkalan Balak,"Klinik Kesihatan Pengkalan Balak, Jalan Telok Gong, 78300 Masjid Tanah, Melaka",06-3834000,78300 Masjid Tanah
Melaka,79,KK Peringgit,"KK Peringgit, Jalab Pantai Peringgit, 75400, Melaka Tengah, Melaka",06-2882344,Melaka Tengah
Melaka,80,KK Rembia,"KK Rembia, Pekan Rembia, 78000, Alor Gajah, Melaka",06-3161076 / 06-3161497 / 06-3161158,Alor Gajah
Melaka,81,KK Selandar,"KK Selandar, Jalan Macap, Selandar, 77500, Jasin, Melaka",06-5251495,Jasin
Melaka,82,KK Seri Tanjung,"KK Seri Tanjung, Batu 7 Pekan Tanjung Kling, Tanjung Kling, 76400, Melaka Tengah, Melaka",06-3511333,Melaka Tengah
Melaka,83,KK Simpang Ampat,"KK Simpang Ampat, Batu 22, Kampung Simpang Empat, 78000, Alor Gajah, Melaka",06-5529498,Alor Gajah
Melaka,84,KK Simpang Bekoh,"KK Simpang Bekoh, Kampung Simpang Bekoh, Jalan Besar, Asahan, 77100, Jasin, Melaka",06-5236033,Jasin
Melaka,85,KK Sungai Rambai,"KK Sungai Rambai, KM 32, Sungai Rambai, 77400, Jasin, Melaka",06-2659526,Jasin
Melaka,86,KK Sungai Udang,"KK Sungai Udang, Batu 11 1/2, Sungai Udang, 76300, Melaka Tengah, Melaka",06-3531333,Melaka Tengah
Melaka,87,KK Tebong,"KK Tebong, Tebong, 76460, Alor Gajah, Melaka",06-4486716,Alor Gajah
Melaka,88,KK Tengkera,"KK Tengkera, Jalan Dato Wira Poh Ah Tiam, Lorong Pandan, 75200, Melaka Tengah, Melaka",06-3360176,Melaka Tengah
Melaka,89,KK Ujong Pasir,"KK Ujong Pasir, Jalan Ujong Pasir, 75050, Melaka Tengah, Melaka",06-2867333,Melaka Tengah
Melaka,90,KK Umbai,"KK Umbai, Jalan Muar, Umbai, 77300, Jasin, Melaka",06-2615606,Jasin
Melaka,91,KK UTC,"KK UTC, Pusat Transformasi Bandar/Urban Transformation Centre (UTC), Aras Bawah, Wisma DMDI, Jalan Tay Chay Yan, Off Jalan Hang Tuah, 75300, Melaka Tengah, Melaka",06-2880080,Melaka Tengah
Negeri Sembilan,1,KD Air Hitam,"KD Air Hitam, Jempol, 72120, Jempol, Negeri Sembilan",06-4676118,Jempol
Negeri Sembilan,2,KD Ampang Tinggi,"KD Ampang Tinggi, Kuala Pilah, 72000, Kuala Pilah, Negeri Sembilan",06-4817842,Kuala Pilah
Negeri Sembilan,3,KD Ayer Mawang,"KD Ayer Mawang, Johol, 73100, Kuala Pilah, Negeri Sembilan",06-4369008,Kuala Pilah
Negeri Sembilan,4,KD Batu 9 Labu,"KD Batu 9 Labu, Jalan Labu, 71900, Seremban, Negeri Sembilan",06-7914075,Seremban
Negeri Sembilan,5,KD Batu Kikir,"KD Batu Kikir, Batu Kikir, 72200, Jempol, Negeri Sembilan",06-4981918,Jempol
Negeri Sembilan,6,KD Bengkahulu,"KD Bengkahulu, Gemas, 73480, Tampin, Negeri Sembilan",07-9484979,Tampin
Negeri Sembilan,7,KD Beting,"KD Beting, Kuala Pilah, 72000, Kuala Pilah, Negeri Sembilan",06-4817945,Kuala Pilah
Negeri Sembilan,8,KD Betong,"KD Betong, Kuala Pilah, 73100, Kuala Pilah, Negeri Sembilan",06-4369469,Kuala Pilah
Negeri Sembilan,9,KD Bukit Jalor (Felda),"KD Bukit Jalor (Felda), Air Kuning, 73200, Tampin, Negeri Sembilan",06-4479614,Tampin
Negeri Sembilan,10,KD Bukit Rokan (Felda),"KD Bukit Rokan (Felda), Gemencheh, 73200, Tampin, Negeri Sembilan",06-4310685,Tampin
Negeri Sembilan,11,KD Bukit Rokan Barat,"KD Bukit Rokan Barat, Rompin, 73200, Jempol, Negeri Sembilan",06- 4512632,Jempol
Negeri Sembilan,12,KD Chembong Halt,"KD Chembong Halt, Kampung Chembong Halt, 71400, Rembau, Negeri Sembilan",06-6857361,Rembau
Negeri Sembilan,13,KD Chuah,"KD Chuah, Port Dickson, 71960, Port Dickson, Negeri Sembilan",06-6582563,Port Dickson
Negeri Sembilan,14,KD Dacing,"KD Dacing, Ulu Beranang, Lenggeng, 71750, Seremban, Negeri Sembilan",06-8168300,Seremban
Negeri Sembilan,15,KD Dangi,"KD Dangi, Johol, 73100, Kuala Pilah, Negeri Sembilan",06-4369007,Kuala Pilah
Negeri Sembilan,16,KD Felda Kepis,"KD Felda Kepis,  Kuala Pilah, 72100, Kuala Pilah, Negeri Sembilan",06-4512585 / 06-4512577,Kuala Pilah
Negeri Sembilan,17,KD Felda Titi,"KD Felda Titi, Jalan Kampung Sepri, Jelebu, 71650, Jelebu, Negeri Sembilan",06-6113371,Jelebu
Negeri Sembilan,18,KD Gachong,"KD Gachong, Sri Menanti, 71550, Kuala Pilah, Negeri Sembilan",06-4817841,Kuala Pilah
Negeri Sembilan,19,KD Gadong,"KD Gadong, JKR 505, Lot 2436, Mukim Gadong, 71350, Rembau, Negeri Sembilan",06-4382836,Rembau
Negeri Sembilan,20,KD Gadong Jaya,"KD Gadong Jaya, Labu, 71900, Seremban, Negeri Sembilan",06-7922324,Seremban
Negeri Sembilan,21,KD Gedok,"KD Gedok, Tampin, 73200, Tampin, Negeri Sembilan",06-4310996,Tampin
Negeri Sembilan,22,KD Gemencheh,"KD Gemencheh, Gemencheh, 73200, Tampin, Negeri Sembilan",06-4319546,Tampin
