State,No.,Facility Name,Full Address,Phone Number
Kedah,123,KD Padang Meiha,"KD Padang Meiha, Padang Meiha, Padang Serai, 09410, Kulim, Kedah",04-4037866
Kedah,124,KD Padang Nyior,"KD Padang Nyior, Jalan Padang Sanai, Kuala Nerang, 06300, Padang Terap, Kedah",04-7860757
Kedah,125,KD Padang Perahu,"KD Padang Perahu, Padang Perahu, Tunjang, Jitra, 06000, Kubang Pasu, Kedah",04-9292584
Kedah,126,KD Padang Pusing,"KD Padang Pusing, Padang Pusing, 06700, Pendang, Kedah",04-4478809
Kedah,127,KD Padang Salim,"KD Padang Salim, Kampung Padang Salim, Kota Kuala Muda, 08500, Kuala Muda, Kedah",04-4430659
Kedah,128,KD Padang Sanai,"KD Padang Sanai, Kuala Nerang, 06300, Padang Terap, Kedah",04-7868548
Kedah,129,KD Padang Sera,"KD Padang Sera, Padang Sera, Kodiang, 06100, Kubang Pasu, Kedah",04-9254852
Kedah,130,KD Pantai Prai,"KD Pantai Prai, Kampung Pantai Kiri, Sungai Petani, 08000, Kuala Muda, Kedah",04-4313706
Kedah,131,KD Parit Nibong,"KD Parit Nibong, Jalan Serdang, Bandar Baharu, 34950, Bandar Baharu, Kedah",04-4079611
Kedah,132,KD Paya Besar,"KD Paya Besar, Paya Besar, Kuala Ketil, 09300, Baling, Kedah",04-4430441
Kedah,133,KD Paya Mak Inson,"KD Paya Mak Inson, Paya Mak Inson, 06700, Pendang, Kedah",04-7413286
Kedah,134,KD Paya Rawa,"KD Paya Rawa, Paya Rawa, 06700, Pendang, Kedah",04-7410076
Kedah,135,KD Pengkalan Tok Putih,"KD Pengkalan Tok Putih, Kampung Labi, Kuala Nerang, 06300, Padang Terap, Kedah",04-7867402
Kedah,136,KD Perik,"KD Perik, Kuala Nerang, 06300, Padang Terap, Kedah",04-7413152
Kedah,137,KD Permatang Berangan,"KD Permatang Berangan, Pinang Tunggal, Sungai Petani, 08000, Kuala Muda, Kedah",04-4317525
Kedah,138,KD Permatang Durian,"KD Permatang Durian, Kuarters Pegawai Perubatan Klinik Kesihatan Padang Serai, Jalan Lunas,  Padang Serai, 09400, Kulim, Kedah",04-4852459
Kedah,139,KD Permatang Kerat Telunjuk,"KD Permatang Kerat Telunjuk, Jalan Serdang, Bandar Baharu, 34950, Bandar Baharu, Kedah",04-4076458
Kedah,140,KD Permatang Keriang,"KD Permatang Keriang, Mukim Jeram, Tunjang, 06000, Kubang Pasu, Kedah",04-7940284
Kedah,141,KD Permatang Paku,"KD Permatang Paku, Permatang Paku, Ayer Hitam, 06150, Kubang Pasu, Kedah",04-7945359
Kedah,142,KD Permatang Pasir,"KD Permatang Pasir, Permatang Pasir, Bandar Baharu, 34950, Bandar Baharu, Kedah",05-7167186
Kedah,143,KD Pida Dua,"KD Pida Dua, Mukim Jeram, Tunjang, Jitra, 06000, Kubang Pasu, Kedah",04-7945109
Kedah,144,KD Pokok Asam,"KD Pokok Asam, Pokok Asam, 06760, Pendang, Kedah",04-7847930
Kedah,145,KD Pokok Machang,"KD Pokok Machang, Kuala Nerang, 06300, Padang Terap, Kedah",04-7868358
Kedah,146,KD Pulai,"KD Pulai, Pekan Pulai, 09100, Baling, Kedah",04-4702780
Kedah,147,KD Rambong,"KD Rambong,  Kg Rambong Batu 7, Jalan Kroh Mukim Baling, 09100 Baling, Kedah, 09100, Baling, Kedah",04-4702482
Kedah,148,KD Relau,"KD Relau, Jalan Kampung Padang, Bandar Baharu, 34950, Bandar Baharu, Kedah",04-5820121
Kedah,149,KD Sanglang,"KD Sanglang, Sanglang, Ayer Hitam, 06150, Kubang Pasu, Kedah",04-7946609
Kedah,150,KD Seberang Kota,"KD Seberang Kota, Jalan Kuala Kedah, Alor Setar, 06600, Kota Setar, Kedah",04-7841490 / 04-7623084
Kedah,151,KD Selat Lubuk Cempedak,"KD Selat Lubuk Cempedak, Pulau Tuba, Mukim Kuah, 07000, Langkawi, Kedah",019-5528479
Kedah,152,KD Semeling,"KD Semeling, Semeling, Bedong, 08100, Kuala Muda, Kedah",04-4586399
Kedah,153,KD Seputih,"KD Seputih, Si Putih, Malau, 9020, Baling, Kedah",04-4727322
Kedah,154,KD Seribu Relong,"KD Seribu Relong, Jalan Tengas, Serdang, 09800, Bandar Baharu, Kedah",04-3690045
Kedah,155,KD Sidam Kanan,"KD Sidam Kanan, Sidam Kanan, Padang Serai, 09400, Kulim, Kedah",04-4852126
Kedah,156,KD Simpang Empat Sedaka,"KD Simpang Empat Sedaka, Sungai Daun Yan, 06910, Yan, Kedah",011-65752532
Kedah,157,KD Simpang Tiga,"KD Simpang Tiga , 06800, Yan, Kedah",011-65752531
Kedah,158,KD Singkir,"KD Singkir, Singkir Darat, 08100, Merbok, Kedah",011-65751541
Kedah,159,KD Suka Menanti,"KD Suka Menanti, Kampung Suka Menanti, Mukim Pumpong, Alor Setar, 05150, Kota Setar, Kedah",04-7347752
Kedah,160,KD Sungai Baru,"KD Sungai Baru, Kampung Sungai Baru Tengah, Mukim Sungai Baru, 05150 Alor Setar, 05150, Kota Setar, Kedah",04-7348379
Kedah,161,KD Sungai Batu,"KD Sungai Batu, Jalan Sungai Batu, Serdang, 09800, Bandar Baharu, Kedah",04-3690053
Kedah,162,KD Sungai Karangan,"KD Sungai Karangan, Sungai Karangan, Padang Serai, 09410, Kulim, Kedah",04-4032459
Kedah,163,KD Sungai Kecil Ilir,"KD Sungai Kecil Ilir, Jalan Sekolah Sg Kecil Ilir, Bandar Baharu, 34950, Bandar Baharu, Kedah",04-5936258
Kedah,164,KD Sungai Kob,"KD Sungai Kob, Sungai Kob, Karangan, 09700, Kulim, Kedah",04-4050551
Kedah,165,KD Sungai Korok,"KD Sungai Korok, Sungai Korok, Ayer Hitam, 06150, Kubang Pasu, Kedah",04-7945323
Kedah,166,KD Sungai Lalang,"KD Sungai Lalang, Sungai Lalang, Bedong, 08100, Kuala Muda, Kedah",04-4586393
Kedah,167,KD Sungai Layar,"KD Sungai Layar, Sungai Layar, Sungai Petani, 08000, Kuala Muda, Kedah",04-4226940
Kedah,168,KD Sungai Limau,"KD Sungai Limau, Kuala Kuang, 09200, Baling, Kedah",04-4721105
Kedah,169,KD Sungai Limau,"KD Sungai Limau, Sungai Limau, Lunas, 09600, Kulim, Kedah",04-4847246
Kedah,170,KD Sungai Sedim,"KD Sungai Sedim, Sedim, Karangan, 09700, Kulim, Kedah",04-4050418
Kedah,171,KD Sungai Seluang,"KD Sungai Seluang, Sungai Seluang, Lunas, 09600, Kulim, Kedah",04-4847301
Kedah,172,KD Sungai Senam,"KD Sungai Senam, Kampung Sungai Senam, 08200, Sik, Kedah",013-4783559
Kedah,173,KD Sungai Taka,"KD Sungai Taka, Jalan Mahang, Serdang, 09800, Bandar Baharu, Kedah",04-4042228
Kedah,174,KD Sungai Tawar,"KD Sungai Tawar, Kampung Sungai Tawar, 09310, Baling, Kedah",04-4721105
Kedah,175,KD Sungai Tengas,"KD Sungai Tengas, Jalan Selama, Serdang, 09800, Bandar Baharu, Kedah",04-4170158
Kedah,176,KD Sungai Tengas Ulu,"KD Sungai Tengas Ulu, Sungai Tengas Ulu, Serdang, 09800, Kulim, Kedah",04-4041493
Kedah,177,KD Sungai Ular,"KD Sungai Ular, Sungai Ular, 09000, Kulim, Kedah",04-4915795
Kedah,178,KD Sungai Yan,"KD Sungai Yan, Yan Kechil, 06900, Yan, Kedah",011-65755140
Kedah,179,KD Tajar,"KD Tajar, Jalan Datuk Kumbar, Alor Setar, 06500, Kota Setar, Kedah",04-7316895
Kedah,180,KD Tanah Hitam,"KD Tanah Hitam, Kampung Tanah Hitam, 08200, Sik, Kedah",019-4769644
Kedah,181,KD Tanah Merah,"KD Tanah Merah, Tanah Merah, 06700, Pendang, Kedah",04-7412487
Kedah,182,KD Tandop,"KD Tandop, No.18, Jalan Teluk Bagan, Batu 3, Alor Setar, 05400, Kota Setar, Kedah",04-7723826
Kedah,183,KD Tandop Besar,"KD Tandop Besar, Kuala Nerang, 06350, Padang Terap, Kedah",04-7860981
Kedah,184,KD Tanjung Dawai,"KD Tanjung Dawai, Tanjung Dawai, Tanjung Dawai, 08110, Kuala Muda, Kedah",04-4571041
Kedah,185,KD Tanjung Pari,"KD Tanjung Pari, Jalan Weng, 09100, Baling, Kedah",04-4721121
Kedah,186,KD Tebengau,"KD Tebengau, Mukim Tebangau, Alor Setar, 06600, Kota Setar, Kedah",04-7621396
Kedah,187,KD Telaga Mas,"KD Telaga Mas, Kampung Keranji, Mukim Telaga Mas, Alor Setar, 06400, Kota Setar, Kedah",04-7419395
Kedah,188,KD Teloi Kanan (Felda),"KD Teloi Kanan (Felda), Teloi Kanan, Kuala Ketil, 09300, Baling, Kedah",04-4192564
Kedah,189,KD Telok Kechai,"KD Telok Kechai, Jalan Yan, Alor Setar, 06600, Kota Setar, Kedah",04-7625377
Kedah,190,KD Telok Nipah,"KD Telok Nipah, Kampung Bukit Tukang Jusoh, Kota Kuala Muda, 08500, Kuala Muda, Kedah",04-4430516
Kedah,191,KD Telok Sera,"KD Telok Sera, Kampung Desa Telok Sera, 09100, Baling, Kedah",04-4721128
Kedah,192,KD Telok Sungai Durian,"KD Telok Sungai Durian, Kampung Desa Telok, Sungai Durian, 09100, Baling, Kedah",04-4721731
Kedah,193,KD Telok Teduri,"KD Telok Teduri, Kampung Desa Telok Teduri, 09100, Baling, Kedah",04-4721129
Kedah,194,KD Telok Temelah,"KD Telok Temelah, Jalan Weng, 09100, Baling, Kedah",04-4721125
Kedah,195,KD Teluk Malek,"KD Teluk Malek, Teluk Malek, Jitra, 06000, Kubang Pasu, Kedah",04-9170693
Kedah,196,KD Temalang,"KD Temalang, Temalang, Jitra, 06000, Kubang Pasu, Kedah",04-9254858
Kedah,197,KD Tembak A,"KD Tembak A, Tembak, 09300, Baling, Kedah",04-4431059 / 04-4707322
Kedah,198,KD Terap,"KD Terap, Terap, 09800, Kulim, Kedah",04-4170143
Kedah,199,KD Teroi,"KD Teroi, Teroi, 06900, Yan, Kedah",011-65751542
Kedah,200,KD Tiak,"KD Tiak, Kampung Tiak, 09200, Baling, Kedah",04-4721106
Kedah,201,KD Tikam Batu,"KD Tikam Batu, Kampung Masjid, Kota Kuala Muda, 08500, Kuala Muda, Kedah",04-4430916
Kedah,202,KD Titi Gajah,"KD Titi Gajah, Kota Setar, 05250, Kota Setar, Kedah",04-7332359
Kedah,203,KD Titi Haji Idris,"KD Titi Haji Idris, Kampung Alor Tebuan, Mukim Tajar, Alor Setar, 06500, Kota Setar, Kedah",04-7340510
Kedah,204,KD Titi Kerbau,"KD Titi Kerbau, Mukim Sungai Laka, Changlon, 06010, Kubang Pasu, Kedah",04-9245389
Kedah,205,KD Tobiar,"KD Tobiar, Tobiar, 06760, Pendang, Kedah",04-7847892
Kedah,206,KD Tokai,"KD Tokai, Tokai, 06660, Pendang, Kedah",04-4471423
Kedah,207,KD Tong Plu,"KD Tong Plu, Mukim Tong Plu, Kuala Nerang, 06300, Padang Terap, Kedah",04-7868385
Kedah,208,KD Tradisi Lembah Keriang,"KD Tradisi Lembah Keriang, Lembah Keriang, Changloon, 06010, Kubang Pasu, Kedah",04-9246300
Kedah,209,KD Ulu Bakai,"KD Ulu Bakai, Ulu Bakai, Kuala Ketil, 09020, Baling, Kedah",04-4062462 / 04-4720064
Kedah,210,KD Ulu Sedaka,"KD Ulu Sedaka, 06900, Yan, Kedah",011-65752536
Kedah,211,KD Weng,"KD Weng, Jalan Weng, 09100, Baling, Kedah",04-4721124
Kedah,212,KK Air Hangat,"KK Air Hangat, Jalan Air Hangat, Langkawi, 07000, Langkawi, Kedah",04-9591959
Kedah,213,KK Alor Janggus,"KK Alor Janggus, Jalan Alor Jaggus, Alor Jaggus, 06250, Kota Setar, Kedah",04-7301985
Kedah,214,KK Alor Mengkudu,"Klinik Kesihatan Alor Mengkudu, Jalan Alor Mengkudu, Alor Setar, 05100, Kota Setar, Kedah",04-7340078
Kedah,215,KK Ayer Hitam,"KK Ayer Hitam, Ayer Hitam, 06150, Kubang Pasu, Kedah",04-7942101
Kedah,216,KK Banai,"KK Banai, Jitra, 06000, Kubang Pasu, Kedah",04-9170375
Kedah,217,KK Bandar Alor Setar,"KK Bandar Alor Setar, Lebuh Raya Darulaman, Alor Setar, 05100, Kota Setar, Kedah",04-7308353
Kedah,218,KK Bandar Baharu,"KK Bandar Baharu, Bandar Baharu, 34950, Bandar Baharu, Kedah",04-7178232
Kedah,219,KK Bandar Sg. Petani,"KK Bandar Sg. Petani, Pej.Kes. Daerah Kuala Muda, Jalan Badlishah, Sungai Petani, 08000, Kuala Muda, Kedah",04-4213333
Kedah,220,KK Bedong,"KK Bedong, Jalan Semeling, Bedong, 08100, Kuala Muda, Kedah",04-4583333
Kedah,221,KK Bukit Selambau,"KK Bukit Selambau, Sungai Petani, 08010, Kuala Muda, Kedah",04-4193312
Kedah,222,KK Changloon,"KK Changloon, Changlun, 06010, Kubang Pasu, Kedah",04-9241277
Kedah,223,KK Dato' Kumbar,"KK Dato' Kumbar, Jalan Dato' Kumbar, Alor Setar, 6500, Kota Setar, Kedah",04-7306319
Kedah,224,KK Guar Chempedak,"KK Guar Chempedak, 08800, Yan, Kedah",KK : 04-4686355 / X-Ray : 04-4684763/ Fisioterapi  :04-4685781
Kedah,225,KK Gulau,"KK Gulau, Jalan Gulau Nami, Sik, 08210, Sik, Kedah",04-7520163 / 04-7520159
Kedah,226,KK Jalan Putra,"KK Jalan Putra, Megong, Alor Setar, 05150, Kota Setar, Kedah",04-7301985 / 04-7355161
Kedah,227,KK Jalan Selama,"KK Jalan Selama, Selama, Serdang, 09810, Bandar Baharu, Kedah",04-4079446
Kedah,228,KK Jeniang,"KK Jeniang, Jalan Jeniang, Jeniang Sik, 08700, Sik, Kedah",04-4641200
Kedah,229,KK Kampung Betong,"KK Kampung Betong, Kampung Betong, Mukim Jeneri, Sik, 08200, Sik, Kedah",04-4620063 / 019-4776363
Kedah,230,KK Kampung Lalang,"KK Kampung Lalang, Jalan Weng, Mukim Siong, Baling, 09100, Baling, Kedah",04-4732555
Kedah,231,KK Karangan,"KK Karangan, Jalan Mahang, Karangan, 09700, Kulim, Kedah",04-4056261
Kedah,232,KK Kepala Batas,"KK Kepala Batas, Kepala Batas, 06200, Kubang Pasu, Kedah",04-7144820
Kedah,233,KK Kodiang,"KK Kodiang, Kodiang, 06100, Kubang Pasu, Kedah",04-9250178
Kedah,234,KK Kota Kuala Muda,"KK Kota Kuala Muda, Jalan Kampung Sungai Emas, Kota Kuala Muda, 08500, Kuala Muda, Kedah",04-4374225
Kedah,235,KK Kota Putra,"KK Kota Putra, Kuala Nerang, 06300, Padang Terap, Kedah",04-7860013
Kedah,236,KK Kota Sarang Semut,"KK Kota Sarang Semut, Jalan Pendang, Kota Sarang Semut, 06800, Kota Setar, Kedah",04-7691333
Kedah,237,KK Kuah,"KK Kuah, Jalan Air Hangat, Langkawi, 07000, Langkawi, Kedah",04-9668030
Kedah,238,KK Kuala Kedah,"KK Kuala Kedah, Jalan Kuala Kedah, Kuala Kedah, 5600, Kota Setar, Kedah",04-7621526
Kedah,239,KK Kuala Ketil,"KK Kuala Ketil, Kuala Ketil, 09300, Baling, Kedah",04-4163355 / 04-4164557
Kedah,240,KK Kubur Panjang,"KK Kubur Panjang, Kubur Panjang, Pendang, 06760, Pendang, Kedah",04-7846355
Kedah,241,KK Kulim,"KK Kulim, Jalan Hospital Lama, Kulim, 09000, Kulim, Kedah",04-4903355
Kedah,242,KK Kupang,"KK Kupang, Poliklinik Kesihatan Kupang, Kupang, 09200, Baling, Kedah",04-4766355
Kedah,243,KK Laka Temin,"KK Laka Temin, Bukit Kayu Hitam, 06050, Kubang Pasu, Kedah",04-9222560
Kedah,244,KK Langgar,"KK Langgar, Jalan Langgar, Alor Setar, 06500, Kota Setar, Kedah",04-7876648
Kedah,245,KK Lubuk Buntar,"KK Lubuk Buntar, Jln Serdang-Bandar Baharu, 09800, Bandar Baharu, Kedah",04-4077320
Kedah,246,KK Lubuk Merbau,"KK Lubuk Merbau, Pendang, 06710, Padang Terap, Kedah",04-7520129
Kedah,247,KK Lunas,"KK Lunas, Jalan Ara Kuda, Lunas, 09600, Kulim, Kedah",04-4849199
Kedah,248,KK Mahang,"KK Mahang, Jalan Mahang, Kulim, 09800, Kulim, Kedah",04-4041333
Kedah,249,KK Malau,"KK Malau, Baling, 09020, Baling, Kedah",04-4721095 / 04-4721203
Kedah,250,KK Merbau Pulas,"KK Merbau Pulas, Jalan Kuala Ketil, Kulim, 09410, Kulim, Kedah",04-4163852
Kedah,251,KK Merbok,"KK Merbok, Jalan Merbok-Tanjung Dawai, Merbok, Kuala Muda, 08400, Kuala Muda, Kedah",04-4572214
Kedah,252,KK Naka,"KK Naka, Naka, 06350, Padang Terap, Kedah",04-7851229
Kedah,253,KK Napoh,"KK Napoh, Klinik Kesihatan Napoh, Jitra, 06000, Kubang Pasu, Kedah",04-9164944 / 04-9162355
Kedah,254,KK Padang Matsirat,"KK Padang Matsirat, Langkawi, 07100, Langkawi, Kedah",04-9551355
Kedah,255,KK Padang Serai,"KK Padang Serai, Jalan Lunas, Padang Serai , 09400, Kulim, Kedah",04-4580084
Kedah,256,KK Parit Panjang,"KK Parit Panjang, Baling, 09120, Baling, Kedah",04-4430853
Kedah,257,KK Pedu,"KK Pedu, Kuala Nerang, 06300, Padang Terap, Kedah",04-7868717
Kedah,258,KK Pendang,"KK Pendang, Jalan Sungai Tiang, Pendang, 06700, Pendang, Kedah",04-7596412
Kedah,259,KK Permatang Buluh,"KK Permatang Buluh, Permatang Buluh, 06800, Yan, Kedah",011-65754066
Kedah,260,KK Pokok Sena,"KK Pokok Sena, Pokok Sena, 06400, Pokok Sena, Kedah",04-7821355
Kedah,261,KK Pulau Tuba,"Klinik Kesihatan Pulau Tuba, Mukim Kuah, 07000, Langkawi, Kedah",017-5665593
Kedah,262,KK Serdang,"KK Serdang, Serdang, 09800, Bandar Baharu, Kedah",04-4076100
Kedah,263,KK Sg. Lalang,"KK Sg. Lalang, Lot 15,16,17 & 18, Taman Lembah Permai, Sungai Lalang, Bedong, 08100, Kuala Muda, Kedah",04-4594127
Kedah,264,KK Simpang Empat,"KK Simpang Empat, Jalan Tokai, Alor Setar, 6600, Kota Setar, Kedah",04-7641501
Kedah,265,KK Simpang Kuala,"KK Simpang Kuala, Jalan Kuala Kedah, Alor Setar, 05400, Kota Setar, Kedah",04-7720853
Kedah,266,KK Sungai Limau Dalam,"KK Sungai Limau Dalam, Yan, 06910, Yan, Kedah",04-7651599 (OPD) / 04-7696975(MCH)
Kedah,267,KK Sungai Pasir,"Klinik Kesihatan Sungai Pasir, Taman Desa Meranti Indah, Sungai Petani, 08000 Kuala Muda, Kedah",04-4213355
Kedah,268,KK Sungai Tiang,"KK Sungai Tiang, Sungai Tiang, Pendang, 06750, Pendang, Kedah",04-7541135
Kedah,269,KK Taman Intan,"Jalan Taman Intan, Sungai Petani",04-4220294
Kedah,270,KK Taman Selasih,"KK Taman Selasih, Lot 3302, Taman Selasih, Kulim, 09000, Kulim, Kedah",04-4917377
Kedah,271,KK Tawar,"KK Tawar, Kuala Ketil, 09310, Baling, Kedah",04-4766308
Kedah,272,KK Teloi Timur,"KK Teloi Timur,  Teloi Timur, Sik, 08200, Sik, Kedah",019-4608741 / 04-4193512
Kedah,273,KK Temonyong,"KK Temonyong, Mukim Kedawang, Langkawi, 7000, Langkawi, Kedah",04-9531133
Kedah,274,KK Tualang,"Klinik Kesihatan Tualang, Kampung Kerian, Jalan Tualang, Mukim Tualang, 06402, Pokok Sena, Kedah",04-7879066
Kedah,275,KK Tunjang,"KK Tunjang, Jalan Kodiang, Jitra, 06000, Kubang Pasu, Kedah",04-9291524
Kedah,276,KK UTC Alor Setar,"KK UTC Alor Setar, Aras Bwh, Kompleks MBAS(City Point), Jln Kolam Air, 05100, Kota Setar, Kedah",04-7350302
Kedah,277,KK UTC Sungai Petani,"KK UTC Sungai Petani, Lot G-UTC-02, UTC Sungai Petani, Bangunan Ukir Square, Jalan Kuala Ketil, 08000, Kuala Muda, Kedah",04-4214075
Kedah,278,KK Yan,"Klinik Kesihatan Yan, Yan Besar, 06900 Yan, Kedah",011-65733443
Kedah,279,KKIA Baling,"KKIA Baling, Lot 851, Lorong Harun Abdullah, Off Jalan Weng, 09100, Baling, Kedah",04-4701351
Kedah,280,KKIA Jitra,"KKIA Jitra, Klinik Kesihatan Ibu Dan Anak Jitra, 06000, Kubang Pasu, Kedah",04-9171355
Kedah,281,KKIA Kuala Nerang,"KKIA Kuala Nerang, Kuala Nerang, 06300, Padang Terap, Kedah",04-7866355 / 04-7860510
Kedah,282,KKIA Sik,"KKIA Sik, Jalan Tuanku Ibrahim, 08200, Sik, Kedah",04-4690617
Kedah,283,KKIA Sungai Petani,"KKIA Sungai Petani, 81, Jalan Padang, Sungai Petani, 08000, Kuala Muda, Kedah",04-4216357
Kelantan,1,KD (SEDC) Sungai Terah,"KD (SEDC) Sungai Terah, Jalan Sungai Terah, 18300, Gua Musang, Kelantan",010-5726377
Kelantan,2,KD Air Dingin,"KD Air Dingin, Air Dingin, 16200, Tumpat, Kelantan",09-7256637
Kelantan,3,KD Alor Bakat,"KD Alor Bakat, Alor Bakat, 16400, Bachok, Kelantan",09-7834353
Kelantan,4,KD Alor Pasir,"KD Alor Pasir, Kg. Alor Pasir Tanah Merah, 17500, Tanah Merah, Kelantan",013-9956125
Kelantan,5,KD Aril,"KD Aril, Jln Melor Lama, Kota Bharu, 16400, Kota Bharu, Kelantan",09-7834348
Kelantan,6,KD Aring 10,"KD Aring 10, Felda Aring 10, Gua Musang, 18300, Gua Musang, Kelantan",013-9102124
Kelantan,7,KD Aring 6,"KD Aring 6, Felda Aring 6, 18300 Gua Musang, 18300, Gua Musang, Kelantan",019-9669124
Kelantan,8,KD Ayer Canal,"KD Ayer Canal, Kampung Ayer Canal, 17700 Tanah Merah, Jeli, 17700, Jeli, Kelantan",09-9450168
Kelantan,9,KD Banggol Chicha,"KD Banggol Chicha, Banggol Chicha, 17000, Pasir Mas, Kelantan",09-7964369
Kelantan,10,KD Baroh Pial,"KD Baroh Pial, Baroh Pial, 17020, Pasir Mas, Kelantan",09-9775404
Kelantan,11,KD Batu Jong,"KD Batu Jong, Batu Jong, 18000, Kuala Krai, Kelantan",09-9771846/ 019-9206091
Kelantan,12,KD Batu Tinggi,"KD Batu Tinggi, Kampung Batu Tinggi, 16450 Kota Bharu, 16450, Kota Bharu, Kelantan",09-7887592
Kelantan,13,KD Bayu Lalang,"KD Bayu Lalang, Jalan Bayu Lalang, 17000, Pasir Mas, Kelantan",09-7964371
Kelantan,14,KD Bechah Laut,"KD Bechah Laut, Kg. Bechah Laut Tanah Merah, 17500, Tanah Merah, Kelantan",09-9775279
Kelantan,15,KD Bekalam,"KD Bekalam, Bekalam, 16090, Bachok, Kelantan",09-7780691
Kelantan,16,KD Belukar Bachok,"KD Belukar Bachok, Belukar Bachok, 16090, Bachok, Kelantan",09-7659028
Kelantan,17,KD Bendang Nyior,"KD Bendang Nyior, Kg. Bendang Nyior Tanah Merah, 17500, Tanah Merah, Kelantan",09-7964077
Kelantan,18,KD Bendang Pak Yong,"KD Bendang Pak Yong, Bendang Pak Yong, 16200, Tumpat, Kelantan",09-7216303
Kelantan,19,KD Beoh,"KD Beoh, Beoh, 16090, Bachok, Kelantan",09-7529019
Kelantan,20,KD Beris Lalang,"KD Beris Lalang, Kampung Beris Lalang, 16300, Bachok, Kelantan",09-7858788
Kelantan,21,KD Beta Hilir,"KD Beta Hilir, Kampung Beta Hilir, Jalan Dewan Hilir, 15100, Kota Bharu, Kelantan",019-9785823
Kelantan,22,KD Beta Hulu,"KD Beta Hulu, Kampung Beta Hulu, 15100, Kota Bharu, Kelantan",09-7123023
Kelantan,23,KD Bukit Abal,"KD Bukit Abal, Kampung Bukit Abal, Pasir Puteh, 16800, Pasir Puteh, Kelantan",09-7893076
Kelantan,24,KD Bukit Awang,"KD Bukit Awang, Kampung Bukit Awang, Gaal, Pasir Puteh, 16800, Pasir Puteh, Kelantan",09-7520940
Kelantan,25,KD Bukit Durian,"KD Bukit Durian, Kg Bukit Durian Gual Ipoh, Tanah Merah, 17500, Tanah Merah, Kelantan",09-9775263
Kelantan,26,KD Bukit Gading,"KD Bukit Gading, Kg Bukit Gading, Tanah Merah, 17500, Tanah Merah, Kelantan",09-9775264
Kelantan,27,KD Bukit Merbau,"KD Bukit Merbau, Kampung Bukit Merbau, Pasir Puteh, 16800, Pasir Puteh, Kelantan",09-7532162
Kelantan,28,KD Bukit Panau,"KD Bukit Panau, Kg Bukit Panau, Tanah Merah, 17500, Tanah Merah, Kelantan",09-9775266
Kelantan,29,KD Bukit Perah,"KD Bukit Perah, Bukit Perah, To' Uban, 17050, Pasir Mas, Kelantan",09-7981434
Kelantan,30,KD Bunut Sarang Burung,"KD Bunut Sarang Burung, Bunut Sarang Burung, 16200, Tumpat, Kelantan",09-7183906
Kelantan,31,KD Bunut Susu,"KD Bunut Susu, Kampung Bunut Susu, 17020, Pasir Mas, Kelantan",09-7193669
Kelantan,32,KD But,"KD But, Kampung But, Jalan Pengkalan But, 16450, Kota Bharu, Kelantan",09-7128580
Kelantan,33,KD Cabang Empat,"KD Cabang Empat, Cabang Empat, 16200, Tumpat, Kelantan",09-7194909
Kelantan,34,KD Chalil (Kesedar),"KD Chalil (Kesedar), Chalil, 18300, Gua Musang, Kelantan",09-9680715
Kelantan,35,KD Che Latif,"KD Che Latif, Jalan PCB Badang, Kota Bharu, 15350, Kota Bharu, Kelantan",09-7711033
Kelantan,36,KD Cherang Laut,"KD Cherang Laut, Cherang Laut, 16300, Bachok, Kelantan",09-7766033
Kelantan,37,KD Chetok,"KD Chetok, Kampung Chekok, Chetok, 17060, Pasir Mas, Kelantan",09-7941223
Kelantan,38,KD Chicha Tinggi,"KD Chicha Tinggi, Kampung Chicha Tinggi, 17000, Pasir Mas, Kelantan",09-7964451
Kelantan,39,KD Chiku 1,"KD Chiku 1, Felda Chiku 1, 18300, Gua Musang, Kelantan",010-5795874
Kelantan,40,KD Chiku 2,"KD Chiku 2, Felda Chiku 2, 18300, Gua Musang, Kelantan",010-5795901
Kelantan,41,KD Chiku 7,"KD Chiku 7, Felda Chiku 7, 18300, Gua Musang, Kelantan",010-579502
Kelantan,42,KD Chuchoh Putri,"KD Chuchoh Putri, Chuchoh Putri, Manik Urai, 18000, Kuala Krai, Kelantan",09-9661845
Kelantan,43,KD Dalam Rhu,"KD Dalam Rhu, Semarak-Kuala Besut, 16700, Pasir Puteh, Kelantan",09-6910311
Kelantan,44,KD Gelam Mas,"KD Gelam Mas, Gelam Mas, 17010, Pasir Mas, Kelantan",09-7977921
Kelantan,45,KD Gobek,"KD Gobek, Kg. Gobek Gual Ipoh, Tanah Merah, 17500, Tanah Merah, Kelantan",019-9240349
Kelantan,46,KD Golok,"KD Golok, Semerak, Pasir Puteh, 16800, Pasir Puteh, Kelantan",09-6912071
Kelantan,47,KD Gondang,"KD Gondang, Kg. Gondang, Kota Bharu, 16450, Kota Bharu, Kelantan",09-7887651
Kelantan,48,KD Jejawi,"KD Jejawi, Jalan Jejawi, 17030, Pasir Mas, Kelantan",09-7964376
Kelantan,49,KD Jelawang,"KD Jelawang, Kampung Jelawang, Jalan Sungai Sam-Dabong-Jeli, 18000, Kuala Krai, Kelantan",09-9480084
Kelantan,50,KD Jelor,"KD Jelor, Kampung Jelor, Pasir Puteh, 16800, Pasir Puteh, Kelantan",09-7520950
Kelantan,51,KD Kadok,"KD Kadok, Jln Kuala Krai Kota Bharu, 16450 Kota Bharu, 16450, Kota Bharu, Kelantan",09-7128751
